Dates,IS_Diluted_EPS
31/3/2022,2.22
31/12/2021,2.48
30/9/2021,2.71
30/6/2021,2.17
31/3/2021,2.03
31/12/2020,2.03
30/9/2020,1.82
30/6/2020,1.46
31/3/2020,1.4
31/12/2019,1.51
30/9/2019,1.38
30/6/2019,1.71
31/3/2019,1.14
31/12/2018,1.08
30/9/2018,1.14
30/6/2018,1.14
31/3/2018,0.95
31/12/2017,-0.82
30/9/2017,0.84
30/6/2017,1.03
31/3/2017,0.7
31/12/2016,0.8
30/9/2016,0.72
30/6/2016,0.66
31/3/2016,0.54
31/12/2015,0.74
30/9/2015,0.63
30/6/2015,-0.4
31/3/2015,0.61
31/12/2014,0.71
30/9/2014,0.54
30/6/2014,0.55
31/3/2014,0.68
31/12/2013,0.78
30/9/2013,0.62
30/6/2013,0.59
31/3/2013,0.72
31/12/2012,0.76
30/9/2012,0.53
30/6/2012,-0.06
31/3/2012,0.6
31/12/2011,0.78
30/9/2011,0.68
30/6/2011,0.69
31/3/2011,0.61
31/12/2010,0.77
30/9/2010,0.62
30/6/2010,0.51
31/3/2010,0.45
31/12/2009,0.74
30/9/2009,0.4
30/6/2009,0.34
31/3/2009,0.33
31/12/2008,0.47
30/9/2008,0.48
30/6/2008,0.46
31/3/2008,0.47
31/12/2007,0.5
30/9/2007,0.45
30/6/2007,0.31
31/3/2007,0.5
31/12/2006,0.26
30/9/2006,0.35
30/6/2006,0.2746
31/3/2006,0.29
31/12/2005,0.34
30/9/2005,0.29
30/6/2005,0.3421
31/3/2005,0.23
31/12/2004,0.32
30/9/2004,0.23
30/6/2004,0.25
31/3/2004,0.12
31/12/2003,0.14
30/9/2003,0.24
30/6/2003,0.13
31/3/2003,0.2
31/12/2002,0.085
30/9/2002,0.095
30/6/2002,0.14
31/3/2002,0.24
31/12/2001,0.2
30/9/2001,0.12
30/6/2001,0.66
